-14.1,0.999,-2.99,-23,-18.9,0
-14,0.9,-3,-23,-19,0
-14,0,-1,-23.9,-23,0
-14,0,-2.99,-22.9,-16.9,1
-14,2,-1,-19.7,-15.8,1
-13.9,0.999,0,-24,-23,0
-13.9,0.999,-2.99,-23,-18.9,0
-13.8,0.999,-2.99,-23,-18.9,0
-13.8,0.9,-3,-23,-19,0
-13.7,3.9,-6.7,-24.5,-24.3,0
-13.7,1.999,-1,-18.8,-15.8,1
-13.6,1,0.5,-18.8,-16.8,0
-13.6,0.999,-2.99,-23,-18.9,0
-13.6,-5,-7,-26,-24.9,0
-13.6,2,-1,-19.7,-15.8,1
-13.6,4.9,-3,-24,-23,0
-13.5,1.999,-1,-18.8,-15.8,1
-13.5,0.9,-3,-23,-19,0
-13.4,2,0.999,-23,-22,0
-13.3,-1.99,-2.99,-30,-28.8,0
-13.3,2,-1,-19.7,-15.8,1
-13.3,1.999,-1,-18.8,-15.8,1
-13.3,2,1,-23,-22,0
-13.3,-3,-3,-19,-19,0
-13.2,0.9,-3,-23,-19,0
-13.2,3.9,-6.7,-24.5,-24.3,0
-13.1,-7,-7.5,-23,-22,0
-13.1,0.999,0,-24,-23,0
-13.1,-1.99,-2.99,-30,-28.8,0
-13.1,2,0,-18.8,-16.8,0
-13.1,4.9,-3,-24,-23,0
-13,1.999,-1,-18.8,-15.8,1
-12.9,0.699,-1,-23.9,-20,0
-12.9,0,-1,-16.8,-15.8,1
-12.9,0.9,-3,-23,-19,0
-12.8,0.9,-3,-23,-19,0
-12.8,3.9,-6.7,-24.5,-24.3,0
-12.8,4.9,-3,-24,-23,0
-12.7,0.9,-3,-23,-19,0
-12.6,0.9,-3,-23,-19,0
-12.5,0.035,0.035,-40,-40,0
-12.5,0.699,-1,-24,-20,0
-12.5,3.499,0.499,-18.3,-14.4,1
-12.4,0.9,-3,-23,-19,0
-12.4,2,-1,-19.7,-15.8,0
-12.4,0,-2.99,-23,-19,0
-12.4,4.9,-3,-24,-23,0
-12.4,0.035,0.035,-40,-40,0
-12.3,0.9,-3,-23,-19,0
-12.3,1,0.5,-18.8,-16.8,0
-12.2,-7.99,-10,-24.9,-23,2
-12.2,0.999,-2.99,-23,-18.9,0
-12.2,1.999,-1,-18.8,-15.8,0
-12.2,0.9,-3,-23,-19,0
